Experiment_ID,Month_Year,Date,Lab_ID,Material_Type,Power_Consumption_W,Temperature_K,Levitation_Altitude_m,Success_Rate_Percent
EXP-1696,2020-01,2020-01-11,Lab-Gamma,Graphene-YBCO,954.3128632228103,42.048958810816515,4.9111043604686495,84.36706990327193
EXP-2235,2020-01,2020-01-11,Lab-Beta,Niobium-Titanium,837.3835739770262,64.73694365351113,2.9882034266090125,81.9722313467603
EXP-1376,2020-01,2020-01-11,Lab-Delta,Niobium-Titanium,1081.6193288033112,69.49823688625263,6.18803654873339,85.17311740716076
EXP-1907,2020-01,2020-01-11,Lab-Beta,Carbon Nanotubes,1330.1066105752896,48.810447755344015,11.447512375781772,92.7374069304809
EXP-0647,2020-01,2020-01-12,Lab-Delta,Graphene-YBCO,1324.5984274753782,68.24213422893185,8.516994547031139,88.73135887117601
EXP-1761,2020-01,2020-01-12,Lab-Epsilon,Quantum Flex,705.2809270232575,86.02365624367764,7.236043073231041,72.49493122596648
EXP-1247,2020-01,2020-01-13,Lab-Delta,Gold-Coated Aerogel,1205.2965494110422,61.25496955815324,7.864248905188251,78.46783391294687
EXP-2425,2020-01,2020-01-14,Lab-Gamma,Carbon Nanotubes,1494.477296040935,76.41504579633033,6.441488399568811,81.34817357159608
EXP-0066,2020-01,2020-01-14,Lab-Alpha,Graphene-YBCO,770.2778455094051,65.80666543042638,5.033427173373854,72.38010069410531
EXP-2317,2020-01,2020-01-14,Lab-Alpha,Gold-Coated Aerogel,1113.2066954335894,86.685118879155,4.3410799784051886,77.16788491262466
EXP-0123,2020-01,2020-01-15,Lab-Gamma,Gold-Coated Aerogel,1697.8119642706572,74.09194936797691,4.383977278925726,76.14236573822146
EXP-1357,2020-01,2020-01-15,Lab-Epsilon,Gold-Coated Aerogel,1067.058210592414,68.40791485263001,4.894955074595352,79.27760677642935
EXP-1839,2020-01,2020-01-16,Lab-Gamma,Gold-Coated Aerogel,1338.4455147205015,62.08191543243976,3.1954519068675387,84.58603261293437
EXP-0421,2020-01,2020-01-17,Lab-Delta,Gold-Coated Aerogel,1451.081902992682,46.462094514873016,6.377486150344926,91.71481730231291
EXP-2064,2020-01,2020-01-17,Lab-Beta,Gold-Coated Aerogel,1132.8777821014135,90.17401414116419,2.2594152149150086,64.67149522777024
EXP-0450,2020-01,2020-01-18,Lab-Gamma,Graphene-YBCO,1567.4203295174657,69.77950796306497,13.18735108732418,87.49769987541232
EXP-1511,2020-01,2020-01-18,Lab-Delta,Quantum Flex,1372.811575993013,68.03641467287594,11.29593576712362,93.57959668523854
EXP-0483,2020-01,2020-01-20,Lab-Alpha,Gold-Coated Aerogel,740.8256727162488,39.796161452385476,1.4078123704732168,77.26920571447232
EXP-2401,2020-01,2020-01-21,Lab-Alpha,Niobium-Titanium,496.84100629683667,77.81300208816069,4.509823913411512,69.83936709388902
EXP-0059,2020-01,2020-01-21,Lab-Gamma,Bismuth-Strontium,1881.781820157663,59.358627406097604,12.00071104536291,97.94783825256319
EXP-2158,2020-01,2020-01-21,Lab-Beta,Bismuth-Strontium,839.6646293187853,60.498612893873926,2.9907156474314833,79.73572182731624
EXP-0035,2020-01,2020-01-22,Lab-Alpha,Graphene-YBCO,1445.2236703065303,65.83824897423408,8.960240825125632,86.23173020460207
EXP-2309,2020-01,2020-01-22,Lab-Beta,Carbon Nanotubes,1523.6269035379519,77.89401518016744,10.539729297885847,88.8211961059081
EXP-2102,2020-01,2020-01-22,Lab-Beta,Graphene-YBCO,1480.8830447271828,62.57469905524785,10.783799894432544,86.06532143595456
EXP-1382,2020-01,2020-01-23,Lab-Beta,Quantum Flex,807.1794632028425,53.50452118891508,6.556619492276791,96.12179717232425
EXP-0604,2020-01,2020-01-23,Lab-Alpha,Niobium-Titanium,881.3366742583621,79.7690435196603,2.917128057002299,68.77073579485636
EXP-2364,2020-01,2020-01-24,Lab-Delta,Quantum Flex,980.6314858172246,53.800648859202994,7.5821749513324965,98.71920594165975
EXP-1141,2020-01,2020-01-25,Lab-Epsilon,Niobium-Titanium,1876.1602032521673,79.35252461380783,10.769984283834596,92.43312368953583
EXP-1464,2020-01,2020-01-25,Lab-Alpha,Niobium-Titanium,261.0733435146344,53.9462089724321,0.0,79.86358615382458
EXP-1740,2020-01,2020-01-25,Lab-Epsilon,Carbon Nanotubes,1489.7682818930318,57.051474505292646,10.581398080180064,90.27375162622833
EXP-0403,2020-01,2020-01-27,Lab-Epsilon,Graphene-YBCO,1429.728197629885,38.11247843544129,9.802176534193116,95.76344646099957
EXP-1664,2020-01,2020-01-27,Lab-Delta,Gold-Coated Aerogel,1217.3428850975718,59.73638749839357,4.49320306672425,84.83519611305024
EXP-1128,2020-01,2020-01-28,Lab-Epsilon,Niobium-Titanium,1382.587900571483,61.78145439721745,6.894795911623068,97.81904239360595
EXP-1102,2020-01,2020-01-28,Lab-Delta,Bismuth-Strontium,1089.1458123039117,80.2379842379411,5.726236325980017,84.85781237526038
EXP-2434,2020-01,2020-01-28,Lab-Delta,Niobium-Titanium,763.684560897417,52.96097617656584,2.287499256860044,79.81306201536026
EXP-1693,2020-01,2020-01-29,Lab-Alpha,Bismuth-Strontium,1085.4927785578939,63.37541785484891,6.276295954097684,86.57109471638475
EXP-1641,2020-01,2020-01-29,Lab-Epsilon,Graphene-YBCO,1485.9263029886724,61.17133828524634,10.217757074835173,88.69489694850628
EXP-0774,2020-01,2020-01-29,Lab-Gamma,Niobium-Titanium,1068.0637693566605,54.91512248888691,2.6464198649402406,81.22978575035997
EXP-1859,2020-01,2020-01-29,Lab-Epsilon,Graphene-YBCO,1409.1270151974172,68.92215641796403,9.06333381868995,88.36130464859163
EXP-2119,2020-01,2020-01-29,Lab-Epsilon,Carbon Nanotubes,1372.066891500356,58.65789039771942,7.593951265570176,92.53135092988086
EXP-1501,2020-02,2020-02-01,Lab-Delta,Graphene-YBCO,566.7500722372375,68.95865369630425,3.9548365712618905,85.69606948744634
EXP-1152,2020-02,2020-02-03,Lab-Alpha,Bismuth-Strontium,2013.5123262972647,69.75754248071851,11.095509618282236,88.84209419068759
EXP-0961,2020-02,2020-02-03,Lab-Gamma,Graphene-YBCO,1279.5094601380913,60.84382085871311,8.783566055525352,91.2146729090707
EXP-1654,2020-02,2020-02-03,Lab-Alpha,Gold-Coated Aerogel,1054.7544554583646,57.84727295410647,4.874803717912557,85.56288162169947
EXP-0080,2020-02,2020-02-04,Lab-Epsilon,Niobium-Titanium,1465.2396986960694,78.21494923011225,6.9962763196751325,78.11846183281416
EXP-2353,2020-02,2020-02-04,Lab-Delta,Niobium-Titanium,1645.1469475740657,73.2055944150736,7.78275029478271,81.33310888688969
EXP-0653,2020-02,2020-02-04,Lab-Beta,Bismuth-Strontium,979.4170766579688,93.3267330656218,5.099603241957734,71.16540186696889
EXP-0481,2020-02,2020-02-05,Lab-Beta,Bismuth-Strontium,1095.6920614975727,71.10212524315466,7.208222208217649,79.76880485764686
EXP-1993,2020-02,2020-02-06,Lab-Epsilon,Gold-Coated Aerogel,1481.9788998372517,93.44283588463878,4.234032787063623,70.5615336379862
EXP-2086,2020-02,2020-02-06,Lab-Gamma,Gold-Coated Aerogel,1214.4457513958557,80.18380488163746,0.40702035505675305,66.97222754729366
EXP-0694,2020-02,2020-02-06,Lab-Epsilon,Graphene-YBCO,1301.5871843603775,70.2054393934981,9.599545275046111,91.03207158830217
EXP-0396,2020-02,2020-02-07,Lab-Beta,Quantum Flex,2097.6900719744326,78.11422631091888,19.80882208830542,100.0
EXP-1986,2020-02,2020-02-07,Lab-Beta,Gold-Coated Aerogel,818.7843367142843,84.92831026030068,0.0,59.49952976502145
EXP-0799,2020-02,2020-02-08,Lab-Alpha,Bismuth-Strontium,1803.8495839862712,54.02299567675396,11.649270828167499,87.48484006044491
EXP-1829,2020-02,2020-02-08,Lab-Beta,Gold-Coated Aerogel,940.7243411730624,42.04665939560789,1.348108068008147,84.27423136806807
EXP-2137,2020-02,2020-02-08,Lab-Alpha,Carbon Nanotubes,1798.9015563517548,91.89549083820728,12.8281842008495,81.43020671451585
EXP-1977,2020-02,2020-02-09,Lab-Delta,Niobium-Titanium,947.5446631479856,66.45644835502081,7.012565569405973,90.01100635876583
EXP-2011,2020-02,2020-02-09,Lab-Beta,Niobium-Titanium,1164.0755305705786,40.24857560030941,6.5473182603914175,86.66551257154443
EXP-1652,2020-02,2020-02-10,Lab-Delta,Graphene-YBCO,449.20264181956554,67.4341373746106,0.7418087612725429,71.85943075897293
EXP-0882,2020-02,2020-02-10,Lab-Delta,Carbon Nanotubes,1077.2785942205621,80.90750822475366,7.3822543486466765,73.92552143018764
EXP-0143,2020-02,2020-02-10,Lab-Epsilon,Gold-Coated Aerogel,478.1947282851838,64.87159935837985,0.0,64.20257937568283
EXP-1739,2020-02,2020-02-11,Lab-Epsilon,Niobium-Titanium,727.1935810167747,56.514122144413015,3.779948353023027,79.81440966169959
EXP-1650,2020-02,2020-02-11,Lab-Gamma,Gold-Coated Aerogel,1329.6107088468093,46.25939105091682,6.098068925863512,94.23421708312037
EXP-1034,2020-02,2020-02-12,Lab-Delta,Niobium-Titanium,1192.997420324689,68.36866562638292,4.50915941967893,69.13454666001758
EXP-1077,2020-02,2020-02-16,Lab-Beta,Carbon Nanotubes,1068.9447503727044,47.71004985401053,7.4766434862908815,87.40159407060544
EXP-1783,2020-02,2020-02-16,Lab-Beta,Quantum Flex,611.7356172251531,66.25965282835308,4.925926731187066,78.32871514481593
EXP-0847,2020-02,2020-02-16,Lab-Alpha,Bismuth-Strontium,817.8054010915224,81.61280989728242,5.137164229485137,72.9946444642556
EXP-0529,2020-02,2020-02-16,Lab-Delta,Bismuth-Strontium,1036.1263243127887,48.52511626004102,4.838078275383727,92.05152876099478
EXP-1362,2020-02,2020-02-16,Lab-Epsilon,Niobium-Titanium,561.2366671517835,74.33742471609928,0.7888809507176253,71.75946078958854
EXP-1085,2020-02,2020-02-17,Lab-Beta,Bismuth-Strontium,964.897779000138,72.76973609311207,4.387815561367129,77.1976526786975
EXP-1412,2020-02,2020-02-20,Lab-Delta,Carbon Nanotubes,1182.8607777618445,58.89588563486869,7.004424594210494,88.58741767501019
EXP-0497,2020-02,2020-02-20,Lab-Alpha,Gold-Coated Aerogel,595.8780982118999,71.0842364534822,0.3141311488629568,64.98810021898493
EXP-0953,2020-02,2020-02-20,Lab-Delta,Carbon Nanotubes,1786.2305537458842,43.68231133166623,16.598660136725222,100.0
EXP-1029,2020-02,2020-02-22,Lab-Gamma,Bismuth-Strontium,664.2067378757321,81.63992194793666,4.972756056365931,71.85472327092782
EXP-1935,2020-02,2020-02-23,Lab-Gamma,Bismuth-Strontium,1254.0916844706726,66.38992663749625,7.36692394125865,86.53406934401943
EXP-0350,2020-02,2020-02-23,Lab-Epsilon,Quantum Flex,1726.6184688738758,56.797460221027926,17.75540085550528,100.0
EXP-1529,2020-02,2020-02-24,Lab-Beta,Gold-Coated Aerogel,1137.0120544964232,43.07040191079675,3.0147202236059454,89.82376167366486
EXP-1706,2020-02,2020-02-24,Lab-Delta,Graphene-YBCO,1302.0358785749925,71.21830565877406,9.598539209660812,78.66734858853359
EXP-1537,2020-02,2020-02-24,Lab-Gamma,Bismuth-Strontium,2069.484055821097,50.66392159555842,14.158077334677799,89.48564498272259
EXP-1098,2020-02,2020-02-25,Lab-Gamma,Gold-Coated Aerogel,1384.614629844577,70.23021681728547,2.7123254248726054,74.87153480053196
EXP-0828,2020-02,2020-02-27,Lab-Delta,Carbon Nanotubes,1604.9753747317982,69.73388383165218,10.454681644301326,94.17508275718335
EXP-1620,2020-02,2020-02-28,Lab-Epsilon,Bismuth-Strontium,983.3082347000422,56.791290926451964,7.357860146944983,85.58661180186039
EXP-1898,2020-03,2020-03-01,Lab-Beta,Graphene-YBCO,1047.5956655621715,30.31908781458958,8.66072963452366,95.84788337908532
EXP-1054,2020-03,2020-03-01,Lab-Beta,Carbon Nanotubes,1504.5863059937744,71.54072461858316,11.359934669130341,87.24246868825074
EXP-1736,2020-03,2020-03-01,Lab-Gamma,Gold-Coated Aerogel,1023.965487898949,79.51992915765908,2.0425045832595616,72.7411687443336
EXP-1948,2020-03,2020-03-02,Lab-Alpha,Carbon Nanotubes,1607.4626919653203,59.68599058616817,10.016564084721205,96.31535063151802
EXP-0703,2020-03,2020-03-02,Lab-Beta,Bismuth-Strontium,963.6450550276714,60.16520677778458,5.2465701655831865,77.7701176302356
EXP-0922,2020-03,2020-03-03,Lab-Epsilon,Graphene-YBCO,1191.046877843251,50.74204176990145,8.543551240899372,100.0
EXP-1471,2020-03,2020-03-03,Lab-Gamma,Graphene-YBCO,1592.1654663955708,38.15660794465347,12.900507171913544,100.0
EXP-0124,2020-03,2020-03-05,Lab-Epsilon,Gold-Coated Aerogel,1204.033186752484,81.90985764251599,2.9788136285816407,67.13287446583071
EXP-2435,2020-03,2020-03-06,Lab-Beta,Quantum Flex,1364.2228980165492,74.88790887623972,12.125343894627981,90.10662165745863
EXP-1144,2020-03,2020-03-07,Lab-Delta,Graphene-YBCO,833.3948025427112,70.0370361421008,5.53267943992229,71.22637054397362
EXP-1026,2020-03,2020-03-09,Lab-Delta,Bismuth-Strontium,997.4367566796346,73.89272764068143,3.8839839720285374,83.09031217050587
EXP-1374,2020-03,2020-03-09,Lab-Alpha,Gold-Coated Aerogel,414.2902800741018,71.67595277877898,0.8437094562698573,76.48444778305557
EXP-1711,2020-03,2020-03-09,Lab-Delta,Carbon Nanotubes,1273.2852193475346,67.0100257487131,10.380627810453639,94.88002461882263
EXP-2226,2020-03,2020-03-12,Lab-Epsilon,Bismuth-Strontium,1316.9391229383011,77.78750126360418,9.28066544997561,77.32965230913918
EXP-1730,2020-03,2020-03-13,Lab-Beta,Bismuth-Strontium,1305.2058727078993,82.79266405141512,4.230874039636947,70.60747849285235
EXP-1646,2020-03,2020-03-15,Lab-Delta,Quantum Flex,591.0696338427579,88.33617497749495,0.24075208192076492,63.0342388445777
EXP-1449,2020-03,2020-03-15,Lab-Gamma,Niobium-Titanium,1580.8120525749205,84.1135149987047,7.685311595472425,83.60511204215007
EXP-0989,2020-03,2020-03-15,Lab-Beta,Gold-Coated Aerogel,1225.063746501819,59.44965310394461,5.422670885382156,90.12563882171165
EXP-1201,2020-03,2020-03-15,Lab-Epsilon,Niobium-Titanium,1036.297018024904,89.23518130352639,4.4451183290570215,61.0855886206805
EXP-0715,2020-03,2020-03-16,Lab-Beta,Graphene-YBCO,892.2555805087875,63.088770676461124,5.139422801012035,78.5884911815928
EXP-1287,2020-03,2020-03-18,Lab-Delta,Bismuth-Strontium,744.767615617395,57.612032560253155,1.783074126568942,77.31457236314301
EXP-1103,2020-03,2020-03-18,Lab-Epsilon,Bismuth-Strontium,1346.198081236446,67.80260928132338,7.787772266101129,81.70485211708021
EXP-2124,2020-03,2020-03-19,Lab-Alpha,Gold-Coated Aerogel,1757.4514703429377,74.07400551433743,6.114859745572746,77.89729154586388
EXP-0835,2020-03,2020-03-20,Lab-Alpha,Gold-Coated Aerogel,1687.0534358930884,67.42449547406329,5.758631577241642,83.30483051301212
EXP-1015,2020-03,2020-03-21,Lab-Gamma,Quantum Flex,1097.650191016784,50.544842548503055,10.408638322016625,99.42761975737022
EXP-1589,2020-03,2020-03-22,Lab-Beta,Carbon Nanotubes,1244.9852166071398,72.13990922734077,8.306946122937392,76.62512910134579
EXP-2051,2020-03,2020-03-22,Lab-Beta,Carbon Nanotubes,1441.7570281467308,110.59927439998394,5.3588684887650455,61.35544993999667
EXP-0947,2020-03,2020-03-23,Lab-Gamma,Carbon Nanotubes,1058.0215079172108,73.20152344798569,6.693547634916886,77.74164150127555
EXP-2161,2020-03,2020-03-24,Lab-Epsilon,Carbon Nanotubes,1017.6620504678851,75.31572385426503,5.037920755534207,73.30577908254796
EXP-1133,2020-03,2020-03-26,Lab-Beta,Quantum Flex,1543.3940687678316,72.14993634004988,14.06499353969418,96.9876772543564
EXP-1536,2020-03,2020-03-27,Lab-Delta,Quantum Flex,1162.601512399981,63.599991872966925,7.797544406874394,88.9213995409539
EXP-2322,2020-03,2020-03-27,Lab-Gamma,Niobium-Titanium,944.179947491963,61.02418136964483,5.4515714047929515,83.0753631061758
EXP-0015,2020-03,2020-03-28,Lab-Alpha,Graphene-YBCO,705.6649034591101,70.86979577550554,1.0482274341277131,75.05557527911434
EXP-1294,2020-03,2020-03-29,Lab-Epsilon,Niobium-Titanium,1465.371247728439,75.62464369694547,8.146013178606063,72.9542628850496
EXP-0656,2020-03,2020-03-30,Lab-Gamma,Gold-Coated Aerogel,968.4736743525958,71.22133698736785,3.3220983208716914,72.6428458077024
EXP-2274,2020-03,2020-03-30,Lab-Gamma,Carbon Nanotubes,2027.3155403367502,79.01393270695567,13.661656817980987,88.80651158088729
EXP-1231,2020-03,2020-03-30,Lab-Alpha,Quantum Flex,1706.1263923962501,74.88083220328957,15.263347521694676,95.25020339877871
EXP-0874,2020-03,2020-03-30,Lab-Gamma,Carbon Nanotubes,465.78143568467385,74.97657557663648,3.3580147738548507,70.00187999109662
EXP-0796,2020-03,2020-03-31,Lab-Delta,Bismuth-Strontium,1110.2714752669467,80.1453139712323,4.179733922191652,70.75416998156676
EXP-2019,2020-04,2020-04-01,Lab-Epsilon,Graphene-YBCO,1499.762845910032,80.77375401256286,10.690120953132832,84.53585952055711
EXP-2256,2020-04,2020-04-01,Lab-Epsilon,Gold-Coated Aerogel,1468.297530173155,68.43965794346136,6.3383273652591345,86.30915915427408
EXP-0073,2020-04,2020-04-01,Lab-Delta,Bismuth-Strontium,1146.9737290620412,98.3398393297082,6.846258789466469,67.4332479769842
EXP-1052,2020-04,2020-04-02,Lab-Beta,Bismuth-Strontium,1258.8414105873674,85.41243726591814,7.691037946700411,66.45588712614055
EXP-2355,2020-04,2020-04-02,Lab-Delta,Bismuth-Strontium,902.708424219833,69.39297832888795,5.668721886919965,86.72344731618252
EXP-0587,2020-04,2020-04-03,Lab-Delta,Niobium-Titanium,1802.1929138845383,85.28221005412706,10.093312277153311,80.60234698760607
EXP-1041,2020-04,2020-04-04,Lab-Beta,Gold-Coated Aerogel,805.3590547138045,44.365356832302865,2.603332404891834,82.07271792910572
EXP-0963,2020-04,2020-04-04,Lab-Alpha,Quantum Flex,1872.9049377028227,62.328662800323684,16.313808640858415,95.81338381713235
EXP-1368,2020-04,2020-04-04,Lab-Gamma,Gold-Coated Aerogel,1465.54563597267,77.72484736130747,4.8837391940903885,84.66277951445785
EXP-0186,2020-04,2020-04-05,Lab-Beta,Bismuth-Strontium,1069.1945256026047,65.0148974262119,6.794398805550413,83.07551853308165
EXP-1560,2020-04,2020-04-05,Lab-Gamma,Niobium-Titanium,1154.141394595541,85.41265892201316,5.572787898134125,73.38685610455686
EXP-0689,2020-04,2020-04-05,Lab-Epsilon,Carbon Nanotubes,1315.8080837265409,105.68565387095654,8.451076598907868,62.365495498313514
EXP-1705,2020-04,2020-04-07,Lab-Epsilon,Quantum Flex,1312.0169044239838,61.77458687129892,11.9533254149477,92.61355943985448
EXP-0998,2020-04,2020-04-07,Lab-Epsilon,Niobium-Titanium,472.57858612531857,82.15943215999003,1.5937745272569526,70.98442936936989
EXP-0429,2020-04,2020-04-08,Lab-Gamma,Bismuth-Strontium,1626.9667812129599,74.21326037708482,9.695549832651515,76.37212424807016
EXP-0156,2020-04,2020-04-08,Lab-Epsilon,Gold-Coated Aerogel,947.1756968451765,85.90508629100908,1.203204188700843,71.6381092114469
EXP-0364,2020-04,2020-04-08,Lab-Epsilon,Quantum Flex,934.2005274111061,59.68383301469096,8.78432779016881,87.00695015745472
EXP-2407,2020-04,2020-04-09,Lab-Delta,Bismuth-Strontium,1605.463931943797,43.6559896944403,12.50667861827404,100.0
EXP-1749,2020-04,2020-04-11,Lab-Epsilon,Carbon Nanotubes,1811.7963387554437,73.77568447160002,11.389294598927513,84.15934364892239
EXP-2239,2020-04,2020-04-11,Lab-Delta,Quantum Flex,1983.399360751598,83.13568245392572,15.88395795130586,100.0
EXP-0991,2020-04,2020-04-12,Lab-Beta,Quantum Flex,1093.8458403580903,49.844464228169684,11.284186596883702,99.76623406782905
EXP-0358,2020-04,2020-04-13,Lab-Beta,Niobium-Titanium,894.484520002047,79.39224515943457,2.526664286663715,71.64304365884881
EXP-1315,2020-04,2020-04-13,Lab-Gamma,Graphene-YBCO,1758.532242976608,64.19311142410673,12.384779305107482,91.56184506198302
EXP-0929,2020-04,2020-04-14,Lab-Epsilon,Gold-Coated Aerogel,1183.3562756026702,77.66167789974718,4.328698841915138,82.27220850094105
EXP-2279,2020-04,2020-04-15,Lab-Beta,Gold-Coated Aerogel,1613.5318601330912,88.33254316476723,7.881738235173881,78.81919519334008
EXP-1083,2020-04,2020-04-16,Lab-Delta,Gold-Coated Aerogel,1268.2395177851427,82.877731446634,4.06879701132718,67.70325709195116
EXP-1745,2020-04,2020-04-17,Lab-Epsilon,Gold-Coated Aerogel,1715.8252896661784,64.74894888132701,7.386733549486859,84.05272204822737
EXP-1146,2020-04,2020-04-18,Lab-Alpha,Gold-Coated Aerogel,1008.9903644248521,69.99890722131286,4.5210355805598885,76.37316017610242
EXP-0740,2020-04,2020-04-18,Lab-Gamma,Bismuth-Strontium,697.5482821558201,72.54800590593803,2.8382616093697446,74.33895559534112
EXP-1150,2020-04,2020-04-20,Lab-Alpha,Gold-Coated Aerogel,885.2273799184456,66.30873421073336,4.318062621591559,75.50915891297144
EXP-1148,2020-04,2020-04-20,Lab-Gamma,Graphene-YBCO,877.754502902416,52.14536815800602,8.627221479582968,97.59407049768043
EXP-2299,2020-04,2020-04-20,Lab-Gamma,Niobium-Titanium,738.2201363824834,51.175609437945,4.773610333205328,88.6203389418688
EXP-1036,2020-04,2020-04-20,Lab-Beta,Niobium-Titanium,1639.4114488856546,54.79222154581072,5.415180364315285,86.24541715201839
EXP-1227,2020-04,2020-04-22,Lab-Epsilon,Bismuth-Strontium,1374.0952548740527,67.15232583750452,8.123443619907068,85.90682910072775
EXP-0259,2020-04,2020-04-22,Lab-Epsilon,Niobium-Titanium,1519.7573434481753,51.125956441902154,3.9995792812153868,92.85715544108517
EXP-1521,2020-04,2020-04-23,Lab-Alpha,Niobium-Titanium,1034.0701166909882,68.3697261829386,5.674281672371202,85.14072884890592
EXP-2006,2020-04,2020-04-24,Lab-Alpha,Quantum Flex,1121.9896444711815,91.69532657415733,8.432016759514692,90.61749563284945
EXP-0663,2020-04,2020-04-24,Lab-Epsilon,Bismuth-Strontium,409.1716104358576,43.90649537107028,0.009116409755708377,85.40302043099432
EXP-2267,2020-04,2020-04-25,Lab-Gamma,Bismuth-Strontium,1000.6755583517858,74.46316459662323,3.714035012072693,72.98698788084707
EXP-0548,2020-04,2020-04-26,Lab-Epsilon,Bismuth-Strontium,1200.0396087407282,56.70812326279539,6.382161668397314,86.29739637832446
EXP-2218,2020-04,2020-04-26,Lab-Epsilon,Bismuth-Strontium,1550.223167774592,79.66080442834331,8.163589736326456,82.59937093101954
EXP-1442,2020-04,2020-04-26,Lab-Epsilon,Carbon Nanotubes,2064.4896732665857,60.40316663515701,15.045303714177171,93.21046580771412
EXP-0970,2020-04,2020-04-27,Lab-Gamma,Bismuth-Strontium,936.6227335950819,55.17669377407717,4.5970639669346784,80.53752489363207
EXP-1204,2020-04,2020-04-27,Lab-Beta,Bismuth-Strontium,1725.1660158864547,66.91177296934194,10.347930771502876,97.65502283082726
EXP-2492,2020-04,2020-04-28,Lab-Beta,Carbon Nanotubes,533.3243460901803,71.70615913429788,3.6344255070906133,77.70460248257722
EXP-0541,2020-04,2020-04-29,Lab-Gamma,Graphene-YBCO,906.988926469091,91.79370466410808,6.75823171563388,69.01298288656791
EXP-2328,2020-05,2020-05-01,Lab-Beta,Carbon Nanotubes,760.0364907310641,41.22590462644028,7.90396206245882,95.71688417734894
EXP-0010,2020-05,2020-05-01,Lab-Gamma,Carbon Nanotubes,941.7952295642417,65.231988299425,2.293426544503805,76.4377087092088
EXP-2276,2020-05,2020-05-01,Lab-Delta,Bismuth-Strontium,1362.0718067561472,38.168859213701616,9.253027928524372,98.39252362242189
EXP-0282,2020-05,2020-05-02,Lab-Epsilon,Gold-Coated Aerogel,1319.4617793037962,54.078846219713235,3.45423361272048,92.69185424399143
EXP-1135,2020-05,2020-05-05,Lab-Delta,Bismuth-Strontium,1128.8752062146445,54.77978689649015,5.8404471749660525,88.04012433878657
EXP-1032,2020-05,2020-05-05,Lab-Alpha,Gold-Coated Aerogel,1539.8341058151555,66.85822077522005,4.494345771348302,79.07426162197153
